,Train R²,Test R²,Test RMSE,Test MAE
Linear Regression,0.5434833698665722,0.294517736637528,0.1478450330809494,0.11247405257247865
Ridge Regression,0.5290555508566781,0.3906204619165944,0.13740660921212253,0.1087836352516448
Lasso Regression,0.5215744311337726,0.38282473744003476,0.1382827298029774,0.10757530725488666
Random Forest,0.9203908615477019,0.44416871697021676,0.13123062039028247,0.09716789025039146
Gradient Boosting,0.9999542297930116,0.4585011939045138,0.12952763641852846,0.09267574052394509
